"Profirm Name","CEO","ESTABLISHED","COUNTRY","BROKER","PLATFORM","TRUST PILOT","PAYMENT METHODS","PAYOUT METHODS","INSTRUMENTS","LEVERAGE","COMMISSIONS","DEMO ACCOUNT"
"Alpha Capital Group","Andrew Blaylock and George Kohler","November 2021","United Kingdom","ACG Markets","MT5, cTrader, (DXTrade for US traders)","4.4","Cryptocurrency, Credit/debit cards, Paypal","Rise, Wise and Wire (Bank Transfer)- Minimum payout $80","You can trade the following assets:  FX (Forex) Commodities Indices  ‍","Forex: 1:100 Indices: 1:20 Metals: 1:30 Oil: 1:10","Standard spread :  There are no commission fees for trading across all asset classes with Alpha Capital Group.  ‍  Raw spread :  All instruments have a commission of 5$.","Create an account with Alpha Capital Group here and receive demo credentials."
"Alpha Futures","Andrew Blaylock & George Kohler","July 2024","United Kingdom","Sim2Funded","AlphaTicks","4.6","Card (Stripe)","Rise, Wise, ACH, Bank transfer, Swift - Minimum Payout $200","CME Equity Futures CME Foreign Exchange Futures CME Agricultural Futures CME NYMEX Futures CME CBOT Commodity Futures CME CBOT Financial/Interest Rate Futures CME COMES Futures Full list here: https://help.alpha-futures.com/en/articles/9492096-what-and-when-you-can-trade","Micro scaling on all accounts.  5 contracts for 50k accounts 10 contracts for 100k 15 for 150k.  ‍","No commissions on AlphaTicks, only regulatory fees. more information:",""
"Apex Trader Funding","Darrel Martin","January 2021","United States","Rithmic and Tradovate","NinjaTrader","4.5","Credit Card (Visa, Mastercard, Discover, and American Express)","Wire Transfer/ ACH - Minimum payout $500","To view available instruments click here.","View challenge details below for leverage (contract size) available.","To view commissions for the Rithmic Platform click here. To view commissions for the Tradovate Platform click here.",""
"AquaFunded","Jason Blax","December 2023","United Arab Emirates","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","Cryptocurrency, Credit card","Rise, Crypto (up to $1000) - Minimum payout $100","Forex Indices Commodities Crypto","Forex: 1:100 Indices: 1:20 Commodities: 1:20 Crypto: 1:2  Note: Funded stage leverage: Forex: 1:50, Indices : 1:10, Commodities : 1:10,Crypto : 1:2","At AquaFunded all our accounts are ECN spreads.  Commissions:  ‍Forex: $5 per lot Commodities: $5 per lot Indices: $0 Crypto: $0",""
"Ascendx Capital","Scott Flook","October 2023","United Kingdom","Purple Trading Seychelles","cTrader, (DXTrade for US traders)","3.7","Credit/debit cards, Cryptocurrency","Crypto (Up to $1000) - Minimum payout $100","Forex Commodities Indices Crypto","Forex - 1:100 Indices and Gold- 1:20 Crypto - 1:10","All Instruments – $2 per lot & , $4/round lot",""
"Audacity Capital","Karim Yousfi","March 2012","United Kingdom","Institutional Liquidity Providers","MT4, MT5","4.6","Cryptocurrency, Credit card, Paypal, Bank Transfer","Paypal, BTC, Direct Bank Transfer","Major and minor forex pairs Gold DAX S&P500 US30 NAS100","Ability Challenge- 1:100 The Funded Trader program - 1:30","5$ per lot on every instruments (only for the ability challenge).","Create an account with Audacity Capital here and receive demo credentials."
"Blue Guardian","Sean Bainton","June 2021","United Arab Emirates","*","MT5, (TradeLocker, Match Trader for US traders)","4.1","Credit/Debit Card (Stripe), Crypto (Coinbase)","Rise (minimum of 500 to unlimited), Crypto (up to $1,000)","FX FX Exotics Indices Gold & Commodities Cryptos","Unlimited:  ‍Fx - 1:100 Indices - 1:20 Commodities - 1:20 Crypto - 1:2  Elite:  ‍Fx - 1:50 Indices - 1:20 Commodities - 1:20 Crypto - 1:2","Our accounts have Raw spreads. MatchTrader : FX & Commodities have a commission charge of $5 per lot, crypto and Indices $0. DxTrade : FX & Commodities have a commission charge of $7 per lot, crypto and Indices $0. Ctrader : FX & Commodities have a commission charge of $5 per lot, crypto and Indices $0.",""
"Blueberry Funded","Dean Hyde and Marcus Fetherston","August 2024","Saint Vincent and the Grenadines","Blueberry Markets","MT4, MT5, DXTrade","3.8","Credit card, Cryptocurrency via Confirmo","RiseWorks, Cryptocurrency (USDC or BTC)","Forex, Metals Indices Energies Crypto","1 Step:  Forex 1:30, Index 1:10, Metals/Commodities 1:10, Crypto 2:1  Rapid:  Forex (1:30), Index 1:10, Metals/Commodities 1:10, Crypto 2:1  2 Steps:  Forex 1:50, Index 1:10, Metals/Commodities 1:10, Crypto 2:1","Commission per lot: $ 7 per lot only on Forex",""
"Breakout","Alex Miningham","November 2023","British Virgin Islands","Bybit","Proprietary trading terminal","4.9","Credit/debit cards, Cryptocurrency, PayPal","Crypto: USDT ER20 - Minimum Payout $50","Major Crypto Pairs Minor Crypto Pairs","For crypto trading: up to 5x (only on BTC and ETH) or 2x (on Altcoins) in both the Breakout Evaluation and Breakout Account.","Crypto trading fees are $3.5/side per $10,000 in both the Breakout Evaluation and Breakout Account.","Breakout Terminal"
"BrightFunded","Jelle Dijkstra","September 2023","Netherlands","Datafeed Provider","BrightFunded Platform","4.4","Cryptocurrency, Credit cards, Ideal, Google pay","Crypto and Bank Transfer (Wise)","Cryptocurrencies: In addition to traditional assets, they offer a wide range of the most popular and latest cryptocurrency instruments. Forex: They provide access to major, minor, and exotic forex pairs. Indices: Trade a variety of global indices. Commodities: This includes hard commodities like metals, and soft commodities such as agricultural goods.","Forex(FX) - 1:100 Gold & Commodities - 1:40 Indices - 1:20 Crypto - 1:5","Currency Pairs = $3 / Lot Indices = $0 ZERO Crypto = 0,024% / Volume Commodities = 0,0010% / Volume","Website: https://trade.brightfunded.com/ Username: Magic_BF ‍Password: BF_Magic123!"
"City Traders Imperium","Daniel Martin and Martin Najat","June 2018","United Arab Emirates","Mabicon","MT5","4.5","Cryptocurrency, Credit/debit cards, Wire(Bank Transfer), Wallet","Crypto (USDT-Tron (TRX) Network), Bank Transfer - Minimum Payout $100","‍Forex Majors: EURUSD, GBPUSD, NZDUSD, AUDUSD, USDCHF, USDCAD, USDJPY.‎‍ Forex Minors : EURGBP, EURNZD, EURAUD, EURCHF, EURCAD, EURJPY, GBPNZD, GBPAUD, ‎GBPCHF, ‎GBPCAD, GBPJPY, NZDAUD, NZDCHF, NZDCAD, NZDJPY, AUDCHF, AUDCAD, AUDJPY, ‎CADCHF, CADJPY, ‎CHFJPY.‎‍ Commodities: Gold, Silver, Oil.‍ Major Index Stocks: S&P500, US30, US100, DAX, UK100, F40, JP225, STOXX50, AUS200, .CHC50, ES35, HKCHKD, N25, SWI20, RUS2000 ‍ Crypto: BTCUSD, ETHUSD, LTCUSD, ADAUSD, XRPUSD.","Challenge: 1:30 (Phase 1, Phase 2 and Funded) Instant Funding : 1:30 (Phase 1), 1:10 (for PM LV1, PM LV2, and PM LV3), 1:30 (for PM LV4 and beyond) Direct Funding : 1:10 (for PM LV1, PM LV2, and PM LV3), 1:30 (for PM LV4 and beyond)","During the Evaluation and Challenge Phases  FX and Commodities : $2.25 per lot per side Indices : $0.23 per lot per side No commission on Crypto  During the Funded Phases  FX and commodities : $2.75 per lot per side Indices : $0.28 per lot per side No commission on Crypto","Platform: MT5 Login: 742764 Password: CTITEST2023 Server: CBT-Limited"
"Crypto Fund Trader","Alan Sanchez","November 2022","Switzerland","Liquidity Data Feed Providers","CFT Platform, MT5, (Crypto Futures for US Traders)","3.9","Credit/Debit Card, Crypto","Crypto: USDT (ERC20), USDT (TRC20), Bitcoin (BTC), Ethereum (ETH), Bank Transfer","There are more than 500 instruments available across the CFT Platform and MetaTrader 5. (Crypto, Forex, Indices, Commodities, Stocks…)  CFT Platform  46 Cryptocurrencies 45 Forex 38 Indices 22 Commodities +250 Stocks  MetaTrader 5  +100 Cryptocurrencies 39 Forex 23 Indices 18 Commodities 25 Stocks  ‍","The leverage for all types of accounts and instruments (Crypto, Forex, Indices, Commodities, Stocks) is 1:100.","Fee structure:  Crypto: 0.0125% per side Commodities: 0.0005% per side Stocks: 0.002% per side Forex: 1.5$ per lot per side Indices: 0$ per lot  Swap fee is charged on trades open at 22:00 UTC.  Swap calculation % per year (Lot x Long or Short / 100 / 360) x open price 1 lot BTCUSD example (1 x (-5) / 100 / 360) x 24484.24 = $-3,4 Swap calculation points Lot x Long or Short x Contract Size x Quote Precision 2 lot XAUUSD example 2 x (-35.673) x 100 x 0.01 = $-71.35","Platform Link: https://trading.cryptofundtrader.com/ Demo credentials: Email: demo@cryptofundtrader.com Password: DemoCFT1"
"Darwinex Zero","","","","","","","","","","","",""
"E8 Markets","Dylan Elchami","November 2021","United States","Virtual Markets","MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)","4.6","Cryptocurrency, Credit/debit cards, Nuvei (Card, Google pay, Apple pay)","Rise or Plane - Minimum Payout $50","Forex Commodities Indexes Cryptocurrencies All information about our instruments like leverage, trading hours, contract size, or commission can be found here","E8 Track, Pro, Account 2(steps) : Forex 1:50, Indices: 1:25, Metals 1:25,Crypto 1:2 E8 One account: Forex 1:30, Indices: 1:15, Metals 1:15, Crypto 1:1","Standard spreads accounts : Free  Raw spread accounts: $5 Forex, $30 for Crypto, $6 for Commodites, $6 for (Nas, S&P, Dax, Nikkei), $12 for (DOW Jones, Australia 200 indices).  To view full list of assets and commissions click https://e8x.e8markets.com/public/symbols","Demo account link: https://e8markets.com/about/trial-account"
