FIRM,PRICE,ACCOUNT SIZE,PROFIT SPLIT,PROFIT TARGET,MAX. DAILY LOSS,MAX. TOTAL DRAWDOWN,COMMISION PER ROUND LOT (FOREX),PROFIT TARGET TO DRAWDOWN RATIO,PAYOUT FREQUENCY,TRUST PILOT RATING,YEAR STABLISHED AND COUNTRY,LOYALTY POINTS,Name,Original Price,Discount Price,Account Size,Profit Split,Phase 1 Profit Target,Phase 2 Profit Target,Max Daily Loss,Max Total Drawdown,Daily Drawdown Reset Type,Drawdown Method,Minimun Trading Days,Maximun Trading Days,Stop-loss Required,Profit Target to Drawdown Ratio,Comissions (Forex),Leverage,Refund Fee,Scaling,Expert Advisors (EAS) Allowed,Copy Trading,News Trading,Weekend Holding,Auto-close at Target,Drawdown Blocker,Payout Frequency,Max Allocation (without scaling),Swap Free Accounts,Technology,Broker,Trading Platforms,Trust Pilot Rating,Established,Country,Loyalty Points,STEPS,logo
FXIFY,$199.00 $159.20 ,25K,75%,1: 10%,5%,6%,$0,1: 0.6,"First payout on-demand, 30 days then after",4.3,April 2023 United Kingdom,372,FXIFY - 1-Phase - 1-Step 25K,$199.00,$159.20,25K,75%,10%, ,5%,6%,Balance-based,Trailing,5 Days,Unlimited,No,1: 0.6,$0,Up to 30:1,100%,Yes,Yes,Yes,Yes,Yes,No,No,"First payout on-demand, 30 days then after",800K,No,White-Label,FXPIG,"MT4, MT5, (DXtrade for US traders)",4.3,"April 1, 2023",United Kingdom,372,1 step,FXIFY.svg
FundedNext,$59.00 $56.05 ,6K,60% + 15% from challenge phase,1: 25%,5%,10%,$3/round lot,1: 0.4,Monthly,4.5,March 2022 United Arab Emirates,34,FundedNext - Express Non-Consistency - 1-Step 6K,$59.00,$56.05,6K,60% + 15% from challenge phase,25%, ,5%,10%,Balance-based,Static,10 Days,Unlimited,No,1: 0.4,$3/round lot,Up to 100:1,100%,Yes,Yes,News Trading,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",Yes,No,No,Monthly,"300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,34,1 step,FundedNext.svg
Trade The Pool,$110.00 $99.00 ,3K,50%,"1: $2,700 (3xDD)",$300,$900,$0.75 minimum or 1/2 cent per share,1: 0.33,14 days,4.5,September 2022 Israel,109,Trade The Pool - Mini Buying Power - Swing - 1-Step - 3K,$110.00,$99.00,3K,50%,"$2,700 (3xDD)", ,$300,$900,Balance-based,Static,"None on Evaluation, 4 Days (Funded)",100 Days,No,1: 0.33,$0.75 minimum or 1/2 cent per share,Up to,No,Yes,No,Yes,Yes,Yes,No,No,14 days,No limit,No, ,Interactive Brokers,Trader Evolutions,4.5,"September 1, 2022",Israel,109,1 step,Trade The Pool.svg
FundedNext,$119.00 $113.05 ,15K,60% + 15% from challenge phase,1: 25%,5%,10%,$3/round lot,1: 0.4,Monthly,4.5,March 2022 United Arab Emirates,68,FundedNext - Express Non-Consistency - 1-Step 15K,$119.00,$113.05,15K,60% + 15% from challenge phase,25%, ,5%,10%,Balance-based,Static,10 Days,Unlimited,No,1: 0.4,$3/round lot,Up to 100:1,100%,Yes,Yes,Weekend Holding,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",Yes,No,No,Monthly,"300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,68,1 step,FundedNext.svg
Instant Funding,$79.00 $67.15 ,10K,80%,1: 10%,3%,8%,$7/round lot,1: 0.8,"First 14 days, then 7 days",4.6,June 2022 United Kingdom,111,Instant Funding - Static - One-Phase - 1-Step 10K,$79.00,$67.15,10K,80%,10%, ,3%,8%,Balance / Equity - Highest at EOD,Static,3 Days,Unlimited,No,1: 0.8,$7/round lot,Up to 100:1,No,Yes,Yes,Yes,Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,No,Yes,No,"First 14 days, then 7 days",200K,No,In-House, ,"cTrader, MT5, (DXTrade for US traders)",4.6,"June 1, 2022",United Kingdom,111,1 step,Instant Funding.svg
Funding Traders,$100.00 $70.00 ,10K,90%,1: 10%,4%,5%,$3/round lot,1: 0.5,14 Days,4.5,April 2023 United Arab Emirates,154,Funding Traders - 1-Step Evaluation - 1-Step 10K,$100.00,$70.00,10K,90%,10%, ,4%,5%,Balance-based,Trailing,,Unlimited,"*No, but you can’t lose more than 2% on any single trade.",1: 0.5,$3/round lot,Up to 100:1,100%,Yes,Yes,Auto-close at Target,Yes,Yes,No,No,14 Days,2M,Yes,In-House,"FUTRAD, Galaxy Path Capital","MT5, (DXtrade,TradeLocker for US traders)",4.5,"April 1, 2023",United Arab Emirates,154,1 step,Funding Traders.svg
The Trading Pit,$99.00 $89.10 ,10K,80%,1: 10%,4%,7%,$5/round lot,1: 0.7,Every 14 days for any amount over $100,4.0,October 2022 Liechtenstein,147,The Trading Pit - CFD Prime - 1-Phase Evaluation - 1-Step 10K,$99.00,$89.10,10K,80%,10%, ,4%,7%,Balance-based at 16:00 CT,Static,5 Days,Unlimited,Yes,1: 0.7,$5/round lot,Up to 50:1,"*Yes, 100% only in the CFD challenge",Yes,Yes,Yes,Allowed with restriction: 2 minutes prior or after to high-impact news,Yes,No,No,Every 14 days for any amount over $100,1 Earning account per user,No,In-House,"FXFlat, GBE Brokers","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)",4.0,"October 1, 2022",Liechtenstein,147,1 step,The Trading Pit.svg
The 5%ers,$300.00 ($95 initial price + $205 if funded) $295.25 ($90.25 initial price + $205 if funded) ,100K,up to 100%,1: 6% 2: 6% 3: 6%,,5%,$4/round lot,1: 0.42,14 Days,4.9,January 2016 Israel,325,The 5%ers - Bootcamp Program - 3-Steps *100K,$300.00 ($95 initial price + $205 if funded),$295.25 ($90.25 initial price + $205 if funded),100K,up to 100%,6%,6%,,5%,*,Static,,Unlimited,"*Yes, Bootcamp Program only.",1: 0.42,$4/round lot,Up to 10:1,"*Yes, 100% but only in the High Stake plans",Yes,Yes,Drawdown Blocker,"Highstakes allowed with restriction: 2 minutes prior or after to high-impact news. Allowed for Hyper Growth, Bootcamp programs with no restriction",Yes,No,No,14 Days,450K,Yes,In-House,Commercial Liquidity Providers,MT5,4.9,"January 1, 2016",Israel,325,3 steps,The5ers.svg
Fintokei,€79.00 €71.10 ,1K,50% up to 90%,10% (To withdraw),,10%,$6/round lot,1: 1,"Upon hitting the profit target, then every 14 days",4.8,April 2023 Czech Republic,78,Fintokei - SwiftTrader - Instant - Instant - 1K,€79.00,€71.10,1K,50% up to 90%,10% (To withdraw), , ,10%,,Trailing - HWM of historical SOD Equity,,Unlimited,No,1: 1,$6/round lot,Up to 50:1,"Yes, only ProTrader on your first payout",Yes,Yes,Yes,"Yes, we just advise clients to be careful during these periods of possible higher market volatility",Yes,No,No,"Upon hitting the profit target, then every 14 days",200K,No,White Label,Purple Trading Seychelles,"MT4, MT5, cTrader",4.8,"April 1, 2023",Czech Republic,78,Instant,fintokei.svg
Maven,$58.00 $53.36 ,10K,80%,1: 8%,3%,5%,$4/round lot,1: 0.63,14 Days,4.6,November 2022 Canada,70,Maven - 1-Step Challenge - Standard - cTrader - 1-Step 10K,$58.00,$53.36,10K,80%,8%, ,3%,5%,Balance / Equity - Highest at EOD,Trailing,,Unlimited,No,1: 0.63,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Payout Frequency,Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,70,1 step,Maven.png
